Code_modalite,Variable,Modalite,Coord_Axe1,Coord_Axe2,Contrib_Axe1_%,Contrib_Axe2_%
Amis_R__Des amis,Type de relations,Des amis,-0.252300958305114,0.12266168531783199,0.02013602555285406,0.006905694673426713
"Amis_R__Ni amis, ni copains mais des connaissances",Type de relations,"Ni amis, ni copains mais des connaissances",0.7327877420443933,0.18974032442859842,0.019932607269798397,0.0019390122827916596
Amis_R__Pas d'amis mais des copains,Type de relations,Pas d'amis mais des copains,0.10717566227558332,-0.6451230432092051,0.0013996491523327263,0.07358096981894903
Amis_R__Seulement des personnes que vous ne côtoyez que pendant les cours,Type de relations,Seulement des personnes que vous ne côtoyez que pendant les cours,1.3613948477208189,1.127837332119006,0.05384192671322141,0.05361655220789745
soirees_R__Jamais,Participation aux soirées étudiantes,Jamais,0.2472767204086961,-0.09582718525216233,0.01944073017300552,0.004236206635039915
soirees_R__Rarement,Participation aux soirées étudiantes,Rarement,-0.39578231317323964,-0.16646431892872998,0.021109557150070627,0.005418289908223005
soirees_R__Souvent,Participation aux soirées étudiantes,Souvent,-0.48955283657961357,1.0243039414132782,0.012377387939749964,0.07862146146211545
TravailGroupe_R__Groupe,Travail seul ou en groupe,Groupe,-0.6513889089964057,0.9657062871770251,0.015750285755069048,0.050228637796565404
TravailGroupe_R__Plutôt seul,Travail seul ou en groupe,Plutôt seul,-0.3526185223270243,-0.16691750737526778,0.038729994335418405,0.012591994832517201
TravailGroupe_R__Seul,Travail seul ou en groupe,Seul,0.8604903597516373,0.10366667687414582,0.11531856085918801,0.002428505626260158
Dejeuner_R__Campus RU,Lieu du déjeuner,Campus RU,-0.3431918955073225,0.3268626111516967,0.019959204505037475,0.02626958651822691
Dejeuner_R__Campus autre,Lieu du déjeuner,Campus autre,-0.28937057006906963,-0.320565666191936,0.012973580021204422,0.023101420818104824
Dejeuner_R__Extérieur,Lieu du déjeuner,Extérieur,0.5723293610304893,-0.03180511404934811,0.05894497690935818,0.00026412057151942923
Presence_R__Assidu,Assiduité aux cours,Assidu,-0.04078785171446918,-0.07030230299424456,0.0007719326219553675,0.003327441276194159
Presence_R__Sélectif,Assiduité aux cours,Sélectif,0.4690602947163951,0.8084764844338113,0.00887722515248672,0.03826557467623286
HeuresLoisirs_R__0h,Heures de loisirs sur campus,0h,0.24116441811806696,-0.2425789946537516,0.0216829478390895,0.031831111951438854
HeuresLoisirs_R__>0h,Heures de loisirs sur campus,>0h,-0.6835457740524352,0.6875551873008172,0.06145718958073215,0.09022069767831126
LILLIAD_R__Assez régulièrement,Fréquentation de LILLIAD (BU),Assez régulièrement,-0.43001279402205594,-0.11401726366951667,0.04745038721808559,0.004840294639194146
LILLIAD_R__Beaucoup en période d’examens,Fréquentation de LILLIAD (BU),Beaucoup en période d’examens,-0.14562835509815733,0.11628517867355709,0.002772405739162429,0.0025648808461766464
LILLIAD_R__Jamais,Fréquentation de LILLIAD (BU),Jamais,1.572858583918288,2.0031211509009443,0.07785631551094349,0.18322405532115826
LILLIAD_R__Rarement,Fréquentation de LILLIAD (BU),Rarement,0.9339092193594528,-0.5726644715410079,0.07460450911261231,0.040701442017594514
SalleInoccupee_R__Assez régulièrement,Utilisation des salles inoccupées,Assez régulièrement,-0.3662287585623443,-0.17619185184157737,0.004978661594606064,0.0016719871018921139
SalleInoccupee_R__Beaucoup en période d’examens,Utilisation des salles inoccupées,Beaucoup en période d’examens,-0.45498607047531425,1.084761007938117,0.007684293066359728,0.06337666972172505
SalleInoccupee_R__Jamais,Utilisation des salles inoccupées,Jamais,0.40675341450113406,0.013131267277653933,0.042456033871132455,6.420130459113662e-05
SalleInoccupee_R__Rarement,Utilisation des salles inoccupées,Rarement,-0.4259149008168761,-0.2138136008127201,0.03147270094119247,0.011508336862356295
HeuresTravail_R__0,Heures de travail sur campus,0,1.0604610767237466,-0.030828103310872164,0.14610505026673468,0.0001791525269553583
HeuresTravail_R__De 1 à 2,Heures de travail sur campus,De 1 à 2,-0.20206856091090022,-0.1429853990495718,0.00771015734369568,0.005601478737006461
HeuresTravail_R__De 2 à 5,Heures de travail sur campus,De 2 à 5,-0.5779726421342597,-0.3620451473737133,0.04340005964509898,0.024708978331686567
HeuresTravail_R__Plus de 5,Heures de travail sur campus,Plus de 5,-0.44053035819937336,1.4016112570698263,0.010805644159803934,0.1587112438558469
